Street Address,Suburb,Postcode,Bed,Bath,Car,Land Size (sqm),Floor Size (sqm),Year Built,Last Rental Price,Last Rental Date,Days on Market,Active Listing,Capital Value,Percentage_Diff,Quarterly Period
42 WALES STREET ,"HALSWELL, CHRISTCHURCH",8025,3,1,1.0,610.0,102.0,1960.0,560.0,2023-07-03,18.0,False,700000,-6.2761506276150625,2023Q3
1/63 ARTHUR STREET ,"UPPER RICCARTON, CHRISTCHURCH",8041,3,1,1.0,508.0,143.0,1950.0,750.0,2023-07-03,7.0,False,640000,-8.19672131147541,2023Q3
2/650 CASHEL STREET,"LINWOOD, CHRISTCHURCH",8011,2,1,1.0,508.0,70.0,1975.0,490.0,2023-07-03,7.0,False,370000,-1.507537688442211,2023Q3
3/106 RUSKIN STREET ,"ADDINGTON, CHRISTCHURCH",8024,3,1,2.0,508.0,140.0,1990.0,520.0,2023-07-03,7.0,False,530000,-6.2761506276150625,2023Q3
76B MAIDSTONE ROAD ,"ILAM, CHRISTCHURCH",8041,3,2,2.0,508.0,165.0,1980.0,850.0,2023-07-03,7.0,False,670000,22.950819672131146,2023Q3
36C WALPOLE STREET,"WALTHAM, CHRISTCHURCH",8023,2,1,1.0,186.0,65.0,2000.0,480.0,2023-07-03,7.0,False,480000,-3.0303030303030303,2023Q3
1/27 ANDOVER STREET,"MERIVALE, CHRISTCHURCH",8014,2,1,5.0,683.0,290.0,1970.0,420.0,2023-07-03,14.0,False,650000,-3.0303030303030303,2023Q3
74 CORSAIR DRIVE ,"WIGRAM, CHRISTCHURCH",8042,3,2,2.0,265.0,174.0,2014.0,660.0,2023-07-03,56.0,False,790000,8.19672131147541,2023Q3
34B BECKFORD ROAD ,"SAINT MARTINS, CHRISTCHURCH",8022,3,1,2.0,408.0,127.0,2000.0,550.0,2023-07-03,7.0,False,770000,10.460251046025103,2023Q3
4/162 SPRINGFIELD ROAD,"ST ALBANS, CHRISTCHURCH",8014,2,1,1.0,71.0,67.0,2023.0,495.0,2023-07-03,55.0,False,630000,-3.0303030303030303,2023Q3
4/31 CHAMPION STREET ,"EDGEWARE, CHRISTCHURCH",8013,3,2,1.0,150.0,102.0,2023.0,620.0,2023-07-03,25.0,False,720000,1.639344262295082,2023Q3
2/91 MANDEVILLE STREET ,"RICCARTON, CHRISTCHURCH",8011,4,1,1.0,508.0,112.0,1990.0,630.0,2023-07-03,7.0,False,560000,-16.0,2023Q3
1/242A SAWYERS ARMS ROAD ,"BISHOPDALE, CHRISTCHURCH",8053,3,1,1.0,508.0,120.0,1970.0,430.0,2023-07-03,36.0,False,510000,-9.836065573770492,2023Q3
4/20 GERALDINE STREET,"EDGEWARE, CHRISTCHURCH",8013,2,1,1.0,508.0,70.0,1975.0,430.0,2023-07-03,7.0,False,405000,-12.690355329949238,2023Q3
1/132 ALDWINS ROAD,"PHILLIPSTOWN, CHRISTCHURCH",8062,2,1,1.0,508.0,70.0,1975.0,400.0,2023-07-04,7.0,False,370000,-11.34020618556701,2023Q3
20 MONTROSE STREET,"SYDENHAM, CHRISTCHURCH",8023,2,1,1.0,304.0,81.0,1920.0,650.0,2023-07-04,7.0,False,485000,-11.34020618556701,2023Q3
1/38 SUGDEN STREET,"SPREYDON, CHRISTCHURCH",8024,2,2,1.0,137.0,72.0,2023.0,515.0,2023-07-04,11.0,False,610000,6.185567010309279,2023Q3
2B CHELTENHAM STREET,"MERIVALE, CHRISTCHURCH",8014,2,2,1.0,76.0,77.0,2022.0,620.0,2023-07-04,7.0,False,830000,27.835051546391753,2023Q3
7 HOROEKA STREET ,"AVONHEAD, CHRISTCHURCH",8042,3,2,2.0,308.0,153.0,2021.0,650.0,2023-07-04,8.0,False,740000,1.639344262295082,2023Q3
15 LOCHEE ROAD ,"UPPER RICCARTON, CHRISTCHURCH",8041,3,1,2.0,617.0,113.0,1960.0,600.0,2023-07-04,7.0,False,670000,0.0,2023Q3
82C WAINUI STREET,"RICCARTON, CHRISTCHURCH",8041,2,1,1.0,508.0,80.0,2005.0,520.0,2023-07-04,7.0,False,560000,5.583756345177665,2023Q3
11 KORAL LANE ,"BROOMFIELD, CHRISTCHURCH",8042,3,2,1.0,206.0,115.0,2022.0,480.0,2023-07-04,8.0,False,690000,3.4482758620689653,2023Q3
29 STRAVEN ROAD ,"RICCARTON, CHRISTCHURCH",8011,4,3,2.0,450.0,278.0,2000.0,899.0,2023-07-04,19.0,False,1380000,1.3333333333333335,2023Q3
281 WAIMAIRI ROAD ,"ILAM, CHRISTCHURCH",8041,4,1,2.0,721.0,144.0,1960.0,700.0,2023-07-04,7.0,False,760000,-6.666666666666667,2023Q3
12A STUDHOLME STREET,"SOMERFIELD, CHRISTCHURCH",8024,2,1,1.0,427.0,132.0,2015.0,530.0,2023-07-04,7.0,False,840000,7.614213197969544,2023Q3
49 TOORAK AVENUE ,"AVONHEAD, CHRISTCHURCH",8042,4,1,2.0,637.0,155.0,1960.0,650.0,2023-07-04,7.0,False,770000,-3.4482758620689653,2023Q3
17 CHEPSTOW AVENUE ,"FENDALTON, CHRISTCHURCH",8052,4,1,2.0,508.0,163.0,1960.0,850.0,2023-07-04,7.0,False,1410000,-3.4482758620689653,2023Q3
4 GUINNESS CRESCENT ,"ILAM, CHRISTCHURCH",8041,4,2,1.0,508.0,266.0,1960.0,875.0,2023-07-04,29.0,False,1340000,17.24137931034483,2023Q3
111 PACKE STREET,"EDGEWARE, CHRISTCHURCH",8013,2,1,1.0,508.0,90.0,1975.0,560.0,2023-07-04,7.0,False,405000,4.9504950495049505,2023Q3
19D ALEXANDRA STREET ,"RICHMOND, CHRISTCHURCH",8013,3,2,2.0,231.0,150.0,2016.0,620.0,2023-07-04,7.0,False,660000,-1.639344262295082,2023Q3
42A LINDSAY STREET ,"ST ALBANS, CHRISTCHURCH",8014,3,1,2.0,387.0,147.0,2005.0,595.0,2023-07-04,7.0,False,740000,-2.459016393442623,2023Q3
8/66 INNES ROAD,"ST ALBANS, CHRISTCHURCH",8052,2,2,1.0,95.0,73.0,2021.0,540.0,2023-07-04,41.0,False,650000,4.3478260869565215,2023Q3
64 PACKARD CRESCENT ,"HALSWELL, CHRISTCHURCH",8025,3,1,1.0,219.0,96.0,2015.0,575.0,2023-07-04,7.0,False,610000,-0.41841004184100417,2023Q3
18 MAKA LANE ,"HALSWELL, CHRISTCHURCH",8025,3,2,2.0,411.0,135.0,2016.0,640.0,2023-07-04,7.0,False,670000,-2.459016393442623,2023Q3
2/174A WILSONS ROAD SOUTH ,"SAINT MARTINS, CHRISTCHURCH",8022,3,1,1.0,508.0,110.0,1975.0,500.0,2023-07-04,7.0,False,480000,-3.765690376569038,2023Q3
68 WILDBERRY STREET,"WOOLSTON, CHRISTCHURCH",8023,2,1,1.0,508.0,90.0,1920.0,430.0,2023-07-04,7.0,False,500000,4.3478260869565215,2023Q3
8A TAMARISK PLACE ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1.0,508.0,100.0,1970.0,530.0,2023-07-04,13.0,False,490000,-9.401709401709402,2023Q3
5 LUXTON PLACE ,"MOUNT PLEASANT, CHRISTCHURCH",8081,4,2,2.0,827.0,276.0,1999.0,950.0,2023-07-04,7.0,False,1360000,19.863013698630137,2023Q3
14 ROSEWARNE STREET ,"SPREYDON, CHRISTCHURCH",8024,3,1,1.0,555.0,103.0,1905.0,560.0,2023-07-04,7.0,False,580000,-9.401709401709402,2023Q3
5/55 CARLTON MILL ROAD,"MERIVALE, CHRISTCHURCH",8014,2,1,2.0,508.0,90.0,1990.0,575.0,2023-07-05,68.0,False,710000,2.857142857142857,2023Q3
484 BARBADOES STREET ,"EDGEWARE, CHRISTCHURCH",8013,3,2,1.0,225.0,166.0,2005.0,600.0,2023-07-05,7.0,False,730000,-4.273504273504273,2023Q3
1/467 HEREFORD STREET,"LINWOOD, CHRISTCHURCH",8011,2,1,1.0,508.0,290.0,1975.0,399.0,2023-07-05,22.0,False,380000,-18.095238095238095,2023Q3
6/58 WALTHAM ROAD ,"SYDENHAM, CHRISTCHURCH",8023,3,2,1.0,154.0,121.0,2022.0,650.0,2023-07-05,7.0,False,580000,0.41841004184100417,2023Q3
48 THAMES STREET ,"MAIREHAU, CHRISTCHURCH",8013,3,1,1.0,539.0,98.0,1920.0,580.0,2023-07-05,35.0,False,550000,2.127659574468085,2023Q3
2/61 BROCKWORTH PLACE,"RICCARTON, CHRISTCHURCH",8011,2,1,1.0,508.0,60.0,1970.0,420.0,2023-07-05,7.0,False,375000,-20.0,2023Q3
4/10A MCLEAN STREET,"LINWOOD, CHRISTCHURCH",8062,2,3,1.0,102.0,92.0,2023.0,519.0,2023-07-05,15.0,False,620000,-20.0,2023Q3
8/12 FREYBERG AVENUE,"RICCARTON, CHRISTCHURCH",8011,2,1,1.0,79.0,78.0,2020.0,500.0,2023-07-05,7.0,False,670000,-3.753609239653513,2023Q3
27 HARGEST CRESCENT,"SYDENHAM, CHRISTCHURCH",8023,2,1,1.0,95.0,78.0,2020.0,515.0,2023-07-05,7.0,False,620000,-0.8662175168431183,2023Q3
32 CHECKETTS AVENUE,"HALSWELL, CHRISTCHURCH",8025,2,1,4.0,875.0,220.0,1980.0,500.0,2023-07-05,2.0,False,650000,-3.2882011605415857,2023Q3
165 SPARKS ROAD ,"HOON HAY, CHRISTCHURCH",8025,3,1,1.0,443.0,102.0,1950.0,520.0,2023-07-05,7.0,False,570000,0.4329004329004329,2023Q3
4 MATIPO STREET ,"RICCARTON, CHRISTCHURCH",8041,4,2,30.0,508.0,120.0,1985.0,575.0,2023-07-05,7.0,False,3850000,19.863013698630137,2023Q3
5/14 LEITCH STREET,"SOMERFIELD, CHRISTCHURCH",8024,2,2,1.0,211.0,76.0,2023.0,550.0,2023-07-05,22.0,False,680000,-0.3868471953578337,2023Q3
3/34 EDWARD AVENUE,"EDGEWARE, CHRISTCHURCH",8013,2,1,1.0,508.0,60.0,1970.0,470.0,2023-07-05,7.0,False,405000,-1.477832512315271,2023Q3
3/100 BROUGHAM STREET,"ADDINGTON, CHRISTCHURCH",8024,2,1,1.0,508.0,68.0,1970.0,420.0,2023-07-05,7.0,False,320000,-6.0,2023Q3
12/129 TANCRED STREET,"LINWOOD, CHRISTCHURCH",8062,2,2,1.0,90.0,73.0,2023.0,480.0,2023-07-05,16.0,False,605000,-4.081632653061225,2023Q3
1/122 TENNYSON STREET ,"SYDENHAM, CHRISTCHURCH",8023,3,1,1.0,508.0,181.0,1915.0,590.0,2023-07-05,49.0,False,475000,-0.8547008547008548,2023Q3
40 ASHWOOD STREET ,"PARKLANDS, CHRISTCHURCH",8083,3,1,1.0,590.0,110.0,1970.0,570.0,2023-07-05,2.0,False,460000,-1.2987012987012987,2023Q3
43 SULLIVAN AVENUE ,"WOOLSTON, CHRISTCHURCH",8023,3,1,1.0,759.0,130.0,1910.0,620.0,2023-07-05,7.0,False,680000,2.1645021645021645,2023Q3
61 WOODBURY STREET ,"RUSSLEY, CHRISTCHURCH",8042,4,1,2.0,610.0,140.0,1960.0,650.0,2023-07-06,7.0,False,670000,-5.797101449275362,2023Q3
66 MUSTANG AVENUE ,"WIGRAM, CHRISTCHURCH",8042,3,2,1.0,218.0,118.0,2012.0,630.0,2023-07-06,2.0,False,680000,5.982905982905983,2023Q3
3/40 GORDON AVENUE,"ST ALBANS, CHRISTCHURCH",8014,2,1,1.0,508.0,80.0,1970.0,445.0,2023-07-06,11.0,False,560000,-9.183673469387756,2023Q3
38 GLOVERS ROAD ,"HALSWELL, CHRISTCHURCH",8025,4,3,2.0,494.0,159.0,2023.0,740.0,2023-07-06,6.0,False,840000,-9.722222222222223,2023Q3
2 SHERATON PLACE ,"REDWOOD, CHRISTCHURCH",8051,3,2,2.0,452.0,152.0,2000.0,585.0,2023-07-06,7.0,False,720000,6.437768240343347,2023Q3
25 BUCCLEUGH STREET,"PHILLIPSTOWN, CHRISTCHURCH",8011,2,1,1.0,400.0,74.0,1905.0,510.0,2023-07-06,18.0,False,320000,-2.0408163265306123,2023Q3
4/142 LEINSTER ROAD,"MERIVALE, CHRISTCHURCH",8014,2,2,1.0,508.0,71.0,2021.0,505.0,2023-07-06,7.0,False,690000,1.0,2023Q3
5/136 SHERBORNE STREET ,"ST ALBANS, CHRISTCHURCH",8014,3,2,1.0,183.0,127.0,2016.0,640.0,2023-07-06,7.0,False,760000,7.234042553191489,2023Q3
2/5 BEATRICE PLACE,"AVONHEAD, CHRISTCHURCH",8042,2,1,1.0,508.0,98.0,2017.0,485.0,2023-07-06,7.0,False,680000,1.0,2023Q3
2/8 ARAWA STREET,"SHIRLEY, CHRISTCHURCH",8013,2,1,1.0,508.0,100.0,1965.0,450.0,2023-07-06,7.0,False,395000,-1.5228426395939088,2023Q3
9 CINTRA PLACE ,"CASEBROOK, CHRISTCHURCH",8051,4,1,2.0,568.0,200.0,1970.0,600.0,2023-07-06,7.0,False,730000,-9.722222222222223,2023Q3
1A DULLES PLACE ,"PAPANUI, CHRISTCHURCH",8053,3,1,2.0,508.0,160.0,1990.0,560.0,2023-07-06,7.0,False,750000,-0.425531914893617,2023Q3
1/28 SYLVAN STREET ,"HILLMORTON, CHRISTCHURCH",8024,3,1,2.0,508.0,130.0,1960.0,580.0,2023-07-07,7.0,False,520000,-1.276595744680851,2023Q3
128 SMITH STREET ,"WOOLSTON, CHRISTCHURCH",8062,3,1,3.0,680.0,252.0,1950.0,500.0,2023-07-07,7.0,False,1140000,-3.862660944206009,2023Q3
60 BRODIE STREET ,"ILAM, CHRISTCHURCH",8041,5,2,2.0,508.0,125.0,1950.0,825.0,2023-07-07,7.0,False,740000,0.7751937984496124,2023Q3
1/31 SUVA STREET ,"UPPER RICCARTON, CHRISTCHURCH",8041,5,1,1.0,508.0,102.0,1950.0,725.0,2023-07-07,7.0,False,550000,11.538461538461538,2023Q3
301 RICCARTON ROAD ,"UPPER RICCARTON, CHRISTCHURCH",8041,4,1,1.0,722.0,256.0,2006.0,575.0,2023-07-07,7.0,False,970000,-11.11111111111111,2023Q3
2/63 ROUNTREE STREET ,"UPPER RICCARTON, CHRISTCHURCH",8041,3,1,2.0,508.0,161.0,1980.0,575.0,2023-07-07,7.0,False,790000,-0.8620689655172413,2023Q3
17 SISKA PLACE ,"UPPER RICCARTON, CHRISTCHURCH",8041,3,2,2.0,601.0,170.0,1980.0,575.0,2023-07-07,7.0,False,790000,-0.4329004329004329,2023Q3
4 TARA STREET ,"RICCARTON, CHRISTCHURCH",8041,3,1,1.0,580.0,120.0,1940.0,600.0,2023-07-07,7.0,False,670000,-1.2875536480686696,2023Q3
17 PIKO CRESCENT ,"RICCARTON, CHRISTCHURCH",8041,4,1,2.0,708.0,102.0,1940.0,900.0,2023-07-07,7.0,False,630000,-16.666666666666664,2023Q3
1/21 MOLESWORTH PLACE,"SOMERFIELD, CHRISTCHURCH",8024,2,1,1.0,508.0,110.0,1975.0,495.0,2023-07-07,7.0,False,480000,-1.0204081632653061,2023Q3
35A MORELAND AVENUE ,"PAPANUI, CHRISTCHURCH",8053,3,1,2.0,508.0,270.0,1990.0,580.0,2023-07-07,7.0,False,690000,0.0,2023Q3
20 BEAN STREET,"HILLMORTON, CHRISTCHURCH",8025,2,1,1.0,274.0,100.0,1990.0,530.0,2023-07-07,7.0,False,580000,1.0204081632653061,2023Q3
93 MANDEVILLE STREET ,"RICCARTON, CHRISTCHURCH",8011,5,2,1.0,508.0,134.0,1920.0,775.0,2023-07-07,7.0,False,660000,12.727272727272727,2023Q3
78 WAINUI STREET ,"RICCARTON, CHRISTCHURCH",8041,4,1,2.0,665.0,230.0,1980.0,620.0,2023-07-07,7.0,False,650000,-8.148148148148149,2023Q3
97 WAIMAIRI ROAD ,"UPPER RICCARTON, CHRISTCHURCH",8041,5,3,2.0,348.0,176.0,2018.0,575.0,2023-07-07,7.0,False,1090000,5.454545454545454,2023Q3
340 STANMORE ROAD ,"RICHMOND, CHRISTCHURCH",8013,3,1,2.0,314.0,126.0,2000.0,550.0,2023-07-07,7.0,False,570000,0.0,2023Q3
70A MIDDLEPARK ROAD ,"SOCKBURN, CHRISTCHURCH",8042,3,1,2.0,508.0,160.0,1995.0,650.0,2023-07-07,7.0,False,620000,0.0,2023Q3
16/129 TANCRED STREET ,"LINWOOD, CHRISTCHURCH",8062,3,3,1.0,134.0,89.0,2023.0,550.0,2023-07-07,40.0,False,685000,-4.761904761904762,2023Q3
87 PEER STREET ,"ILAM, CHRISTCHURCH",8041,4,2,2.0,508.0,200.0,1990.0,575.0,2023-07-07,7.0,False,870000,-4.615384615384616,2023Q3
24 PIKO CRESCENT ,"RICCARTON, CHRISTCHURCH",8041,4,2,1.0,870.0,184.0,1940.0,640.0,2023-07-07,7.0,False,910000,-3.875968992248062,2023Q3
5/129 TANCRED STREET ,"LINWOOD, CHRISTCHURCH",8062,3,3,1.0,140.0,89.0,2023.0,550.0,2023-07-07,40.0,False,690000,-4.3478260869565215,2023Q3
29 REDRUTH AVENUE ,"SPREYDON, CHRISTCHURCH",8024,3,1,1.0,658.0,120.0,1920.0,550.0,2023-07-07,7.0,False,640000,-3.0837004405286343,2023Q3
90B WARDEN STREET ,"RICHMOND, CHRISTCHURCH",8013,3,3,1.0,194.0,136.0,2018.0,550.0,2023-07-07,7.0,False,620000,-2.2222222222222223,2023Q3
108 MAIDSTONE ROAD ,"ILAM, CHRISTCHURCH",8041,3,1,2.0,809.0,191.0,1950.0,620.0,2023-07-07,7.0,False,990000,-2.2222222222222223,2023Q3
9 PARKSTONE AVENUE ,"ILAM, CHRISTCHURCH",8041,4,2,2.0,812.0,174.0,1970.0,690.0,2023-07-07,7.0,False,1010000,-0.7751937984496124,2023Q3
36A SOUTHEY STREET ,"SYDENHAM, CHRISTCHURCH",8023,3,2,1.0,259.0,183.0,2014.0,695.0,2023-07-07,22.0,False,750000,7.82608695652174,2023Q3
15 AUBURN AVENUE ,"UPPER RICCARTON, CHRISTCHURCH",8041,3,1,1.0,812.0,105.0,1945.0,510.0,2023-07-07,7.0,False,620000,10.222222222222223,2023Q3
17 DEACON STREET ,"HALSWELL, CHRISTCHURCH",8025,3,2,2.0,351.0,158.0,2016.0,650.0,2023-07-07,7.0,False,770000,15.04424778761062,2023Q3
7 SEDGEMOOR CLOSE ,"BURWOOD, CHRISTCHURCH",8083,4,2,2.0,500.0,195.0,2005.0,750.0,2023-07-07,7.0,False,720000,6.976744186046512,2023Q3
10 ILKLEY PLACE ,"ILAM, CHRISTCHURCH",8041,3,1,2.0,683.0,142.0,1970.0,960.0,2023-07-07,7.0,False,900000,15.04424778761062,2023Q3
4/64 AVALON STREET,"RICHMOND, CHRISTCHURCH",8013,2,1,2.0,508.0,60.0,1975.0,415.0,2023-07-07,7.0,False,400000,2.5906735751295336,2023Q3
16 SEVERN STREET ,"ST ALBANS, CHRISTCHURCH",8014,3,1,2.0,650.0,134.0,1910.0,560.0,2023-07-07,7.0,False,810000,17.117117117117118,2023Q3
22 BALGAY STREET ,"UPPER RICCARTON, CHRISTCHURCH",8041,4,1,1.0,572.0,150.0,1940.0,620.0,2023-07-07,7.0,False,630000,9.523809523809524,2023Q3
20 BALGAY STREET,"UPPER RICCARTON, CHRISTCHURCH",8041,2,1,1.0,479.0,137.0,2000.0,925.0,2023-07-07,7.0,False,560000,9.844559585492227,2023Q3
69 PARKSTONE AVENUE ,"ILAM, CHRISTCHURCH",8041,5,2,2.0,696.0,210.0,1970.0,575.0,2023-07-07,7.0,False,850000,-16.363636363636363,2023Q3
5 BALGAY STREET ,"UPPER RICCARTON, CHRISTCHURCH",8041,5,2,1.0,500.0,155.0,1980.0,960.0,2023-07-07,7.0,False,810000,-23.333333333333332,2023Q3
47 ACACIA AVENUE ,"UPPER RICCARTON, CHRISTCHURCH",8041,4,2,3.0,688.0,160.0,1950.0,960.0,2023-07-07,7.0,False,760000,16.27906976744186,2023Q3
45 ACACIA AVENUE ,"UPPER RICCARTON, CHRISTCHURCH",8041,4,1,1.0,688.0,172.0,1950.0,575.0,2023-07-07,7.0,False,870000,-1.5873015873015872,2023Q3
3/48 MAXWELL STREET,"RICCARTON, CHRISTCHURCH",8041,2,1,1.0,508.0,96.0,1970.0,460.0,2023-07-07,7.0,False,515000,-4.66321243523316,2023Q3
4/21 LINWOOD AVENUE,"LINWOOD, CHRISTCHURCH",8011,2,1,1.0,80.0,72.0,2023.0,470.0,2023-07-07,19.0,False,600000,-2.5906735751295336,2023Q3
2/14 SISKA PLACE,"UPPER RICCARTON, CHRISTCHURCH",8041,2,1,1.0,508.0,120.0,1890.0,660.0,2023-07-07,7.0,False,570000,-4.081632653061225,2023Q3
45 WYNDHAM STREET ,"PAPANUI, CHRISTCHURCH",8053,3,3,1.0,192.0,131.0,2018.0,650.0,2023-07-07,7.0,False,745000,10.16949152542373,2023Q3
4 LOCHMORE STREET ,"BISHOPDALE, CHRISTCHURCH",8051,3,1,2.0,604.0,143.0,1980.0,630.0,2023-07-07,7.0,False,720000,6.779661016949152,2023Q3
93 WAIMAIRI ROAD ,"UPPER RICCARTON, CHRISTCHURCH",8041,5,3,1.0,284.0,176.0,2018.0,575.0,2023-07-07,7.0,False,1090000,-23.333333333333332,2023Q3
21 LOCHEE ROAD ,"UPPER RICCARTON, CHRISTCHURCH",8041,3,1,3.0,723.0,140.0,1960.0,575.0,2023-07-07,7.0,False,930000,5.439330543933055,2023Q3
46 BALGAY STREET ,"UPPER RICCARTON, CHRISTCHURCH",8041,3,2,2.0,784.0,130.0,1950.0,960.0,2023-07-07,7.0,False,800000,0.8,2023Q3
4/112 CHAMPION STREET,"EDGEWARE, CHRISTCHURCH",8013,2,1,1.0,508.0,91.0,1970.0,460.0,2023-07-07,7.0,False,400000,-4.081632653061225,2023Q3
10 CLONBERN PLACE ,"UPPER RICCARTON, CHRISTCHURCH",8041,3,1,1.0,607.0,162.0,1960.0,575.0,2023-07-07,7.0,False,830000,-8.0,2023Q3
200 AVONHEAD ROAD ,"AVONHEAD, CHRISTCHURCH",8042,3,1,2.0,809.0,170.0,1950.0,875.0,2023-07-07,7.0,False,780000,36.71875,2023Q3
3 WADELEY ROAD ,"ILAM, CHRISTCHURCH",8041,4,1,3.0,610.0,150.0,1960.0,575.0,2023-07-07,7.0,False,860000,-7.258064516129033,2023Q3
30 TIKA STREET ,"RICCARTON, CHRISTCHURCH",8041,4,2,1.0,487.0,155.0,1940.0,900.0,2023-07-07,7.0,False,680000,-8.73015873015873,2023Q3
3/51 BRODIE STREET,"ILAM, CHRISTCHURCH",8041,2,1,1.0,508.0,120.0,1995.0,520.0,2023-07-08,7.0,False,540000,6.122448979591836,2023Q3
80 WYCHBURY STREET ,"SPREYDON, CHRISTCHURCH",8024,3,1,1.0,627.0,104.0,1940.0,570.0,2023-07-08,7.0,False,640000,-10.15625,2023Q3
9/25 HARGEST CRESCENT,"SYDENHAM, CHRISTCHURCH",8023,2,1,1.0,94.0,78.0,2020.0,510.0,2023-07-08,7.0,False,630000,4.081632653061225,2023Q3
5A WEXFORD CRESCENT ,"HALSWELL, CHRISTCHURCH",8025,3,2,2.0,503.0,160.0,2023.0,695.0,2023-07-08,23.0,False,830000,8.59375,2023Q3
4/46 TRAFALGAR STREET,"ST ALBANS, CHRISTCHURCH",8014,2,2,1.0,508.0,112.0,2016.0,410.0,2023-07-08,7.0,False,790000,5.699481865284974,2023Q3
352 BLENHEIM ROAD ,"UPPER RICCARTON, CHRISTCHURCH",8041,3,1,2.0,416.0,118.0,1950.0,520.0,2023-07-08,7.0,False,550000,-10.9375,2023Q3
1/10 BURLINGTON STREET,"SYDENHAM, CHRISTCHURCH",8023,2,1,2.0,506.0,150.0,1950.0,495.0,2023-07-09,8.0,False,650000,0.0,2023Q3
5/74 HANSONS LANE ,"UPPER RICCARTON, CHRISTCHURCH",8041,5,2,2.0,508.0,110.0,1990.0,750.0,2023-07-09,3.0,False,430000,1.694915254237288,2023Q3
37 KIMBERLEY STREET ,"CASEBROOK, CHRISTCHURCH",8051,5,2,1.0,607.0,130.0,1970.0,720.0,2023-07-10,7.0,False,710000,-0.34602076124567477,2023Q3
1/53 CHAMPION STREET,"EDGEWARE, CHRISTCHURCH",8013,2,1,1.0,508.0,81.0,1990.0,460.0,2023-07-10,7.0,False,480000,-4.66321243523316,2023Q3
16 DANIELS ROAD,"REDWOOD, CHRISTCHURCH",8051,2,1,2.0,607.0,110.0,1960.0,575.0,2023-07-10,20.0,False,640000,2.5906735751295336,2023Q3
6 AUBURN AVENUE ,"UPPER RICCARTON, CHRISTCHURCH",8041,3,1,1.0,908.0,111.0,1940.0,600.0,2023-07-10,7.0,False,790000,-2.4390243902439024,2023Q3
1/49 MCLEAN STREET,"LINWOOD, CHRISTCHURCH",8062,2,2,1.0,111.0,83.0,2023.0,480.0,2023-07-10,7.0,False,580000,-1.5384615384615385,2023Q3
5 ESPERANCE STREET ,"ST ALBANS, CHRISTCHURCH",8052,3,1,1.0,701.0,143.0,1960.0,580.0,2023-07-10,7.0,False,700000,-1.694915254237288,2023Q3
27 LYNDON STREET ,"RICCARTON, CHRISTCHURCH",8041,4,1,1.0,607.0,225.0,1930.0,590.0,2023-07-10,7.0,False,1110000,-6.349206349206349,2023Q3
261 MARINE PARADE ,"NEW BRIGHTON, CHRISTCHURCH",8061,3,1,2.0,582.0,140.0,1915.0,450.0,2023-07-10,7.0,False,620000,-1.694915254237288,2023Q3
2/31 BUFFON STREET,"WALTHAM, CHRISTCHURCH",8023,2,1,1.0,508.0,87.0,2016.0,420.0,2023-07-10,7.0,False,460000,1.0526315789473684,2023Q3
209 BURWOOD ROAD ,"BURWOOD, CHRISTCHURCH",8083,3,1,1.0,607.0,103.0,1960.0,495.0,2023-07-10,7.0,False,590000,-14.285714285714285,2023Q3
15 LINDSAY STREET ,"ST ALBANS, CHRISTCHURCH",8014,3,1,3.0,923.0,112.0,1910.0,530.0,2023-07-10,7.0,False,900000,-13.91304347826087,2023Q3
81 BRIDGE STREET ,"NEW BRIGHTON, CHRISTCHURCH",8062,3,1,2.0,905.0,110.0,1960.0,520.0,2023-07-10,7.0,False,590000,-9.170305676855897,2023Q3
83 HARGOOD STREET ,"WOOLSTON, CHRISTCHURCH",8062,3,1,2.0,610.0,100.0,1950.0,590.0,2023-07-10,7.0,False,545000,-7.423580786026202,2023Q3
2/46 ALDWINS ROAD,"PHILLIPSTOWN, CHRISTCHURCH",8062,2,1,1.0,508.0,70.0,1985.0,510.0,2023-07-11,7.0,False,415000,-1.5384615384615385,2023Q3
56 BROADHAVEN AVENUE,"PARKLANDS, CHRISTCHURCH",8083,2,1,1.0,508.0,110.0,1970.0,495.0,2023-07-11,7.0,False,410000,0.0,2023Q3
9 ILKLEY PLACE ,"ILAM, CHRISTCHURCH",8041,3,1,2.0,598.0,160.0,1980.0,620.0,2023-07-11,7.0,False,700000,2.608695652173913,2023Q3
1/106 MAIDSTONE ROAD ,"ILAM, CHRISTCHURCH",8041,3,1,1.0,508.0,152.0,1950.0,750.0,2023-07-11,8.0,False,620000,7.82608695652174,2023Q3
6/20 BRISTOL STREET,"ST ALBANS, CHRISTCHURCH",8014,2,1,1.0,508.0,110.0,1980.0,530.0,2023-07-11,7.0,False,600000,3.0303030303030303,2023Q3
2/62 OFFICE ROAD,"MERIVALE, CHRISTCHURCH",8014,2,1,1.0,508.0,120.0,1970.0,700.0,2023-07-11,7.0,False,690000,5.472636815920398,2023Q3
1/74 RUSSLEY ROAD ,"RUSSLEY, CHRISTCHURCH",8042,3,1,2.0,508.0,102.0,1955.0,500.0,2023-07-11,19.0,False,560000,11.711711711711711,2023Q3
34 CHEVIOT STREET ,"SPREYDON, CHRISTCHURCH",8024,3,1,2.0,476.0,90.0,1905.0,590.0,2023-07-11,7.0,False,600000,6.306306306306306,2023Q3
